,reviews_rating,user_sentiment,reviews_text
714,1,Positive,"I just tried to clean normal interior film off the windshield of my wife's car. The result was some residual film after I tried to use this product twice. Based upon recent experience with Windex Original on other cars I own with the same poor results, I'm done using this product. This has been my go-to for years, but I give up! I don't care about cost, I'll find something that works the way Windex did in the past and I'll buy it."
716,1,Positive,I have now purchased two different 23 oz bottles of the Windex Orignial within 4 weeks of each other. The spray trigger broke off on the first bottle after about 4 uses. I still had 80 of the bottle left. So I went and purchased a second 23 oz bottle with the intentions of switching out the tops so that I could use the rest of the first bottle. After one use (cleaned 4 windows and a mirrow) the trigger from the second bottle broke too. Now I am stuck with two almost completely full bottles of windex and no way to clean. I will be looking for a new brand...
717,1,Positive,"We've stuck to the Original for decades after something that was either called dripless or streak free left streaks. NOW, our bottle of Original Streak Free Shine with Ammonia-D left disheartening streaks on our glass coffe table and glass dining table. I finally got the streaks off by wiping carefully with water and removing the water beads carefully - making quite a task for me. - QUESTION: is what we bought truly the ORIGINAL or is it the original streak free Otherwise, why are we getting streaks"
718,1,Positive,"I have used Windex for years, always wondering why I kept using it. I have never had a streak-free window, even after going over it multiple times. I have tried newspaper, paper towels, cloths, everything I can think of and still it leaves streaks. I just started cleaning my windows again. They are heavy to lift out. I cleaned my first window, checked again and cleaned again before putting it back in, Out comes the sun and shows up all the streaks. I guess I would rather have dirt windows, Never again will I use Windex!"
719,1,Positive,"Like many others I have been using Windex for years and have been happy with it. Recently, however, it seems to be leaving a streaky film. I use the same kind of lint free cloth as ever so I can only conclude the formula has changed. I note that others are reporting the same problem with the film. Has the formula changed"
720,1,Positive,"I have used Windex for over 35 years and have been happy for most of that time. While I don't know what changes Windex has recently made, I am severely, repeat severely, disappointed in Windex product offerings (including Windex Original and other newer versions of Windex). I am so disappointed that I have recently been making my own solution. It works significantly better than Windex. While I know you want to maximize profits, you should be able to make make a product that works."
723,1,Positive,I have many glass surfaces in my home and windex is a regular on my shopping list. The last bottle I purchased must be a different formula. Everything I use it on is a streaky mess. I actually made a quick store run to buy a different product when a friend text that she was stopping by. If the quality of this Johnson family product isn't restored they should discontinue it. Who has time for cleaning products that cause extra work!
725,1,Positive,"I have used Windex in the original formula for many years. Always worked great. Now all I can find is Windex Complete. Aptly named, it is a complete failure. Does not clean car windows, nor other glass well. Leaves streaks that can only be minimised by immediately wiping with a dry paper towel, and even then cot completely. Give me back my original formula. I am currently searching for another product I am so disappointed."
728,1,Positive,I have now purchased two different 23 oz bottles of the Windex Orignial within 4 weeks of each other. The spray trigger broke off on the first bottle after about 4 uses. I still had 80 of the bottle left. So I went and purchased a second 23 oz bottle with the intentions of switching out the tops so that I could use the rest of the first bottle. After one use (cleaned 4 windows and a mirrow) the trigger from the second bottle broke too. Now I am stuck with two almost completely full bottles of windex and no way to clean. I will be looking for a new brand...
729,1,Positive,"Twice now ever since they introduced the new sprayer bottle, after the very first couple quick squeezes the new flimsy squeezer snaps off, rendering the bottle useless.. these used to last forever and we would just buy bulk refills... is this some idea from some new guy hired to save money idea to make hem break easier so you buy more, oris it just shoddy design I've purchased a noname glass cleaner sprayer (it was cheaper than buying a new empty sprayer bottle) and will refill with windex left overs, then continue buying no name glass cleaner.... who cares how good it cleans if the sprayer breaks instantly... i am sure some new marketing guy got a bonus and a pat on the back for saving a few cents on a inferior spray nozzle"
730,1,Positive,"I have been a faithful Windex user for over 40 years ... but the last couple of years I've noticed more and more that it does not clean like it used to. My mirrors were always sparkling clean, but now I have a film and streaks that will not come off. I even went back over them with a clean dry paper towel and there were faint blue smudges on the paper towel. That tells me that Windex is leaving a residue on the glass ... which leads to streaks .... which is frustrating. Recently remodeled the bathroom and we have lots of mirrors, but now they are a hot mess. Will be trying new cleaners - or using vinegar and water."
733,1,Positive,"I have to agree with Mel. Used to be a great product. I am curious as to what the changes were that SC Johnson made to the product, that Heather refers to."
737,1,Positive,New cap design - How tdo you put it in spray mode There are no mode indicators on the nozzle.
738,2,Positive,This is a great windex product that I came across after a long time.Please try once and then believe me.
741,2,Positive,"I love Windex!!! Everyone who knows me knows this! However, you guys have messed up perfection. Stop messing up what is already good. Stop trying to cut cost..."
742,2,Positive,This is a great windex product that I came across after a long time.Please try once and then believe me.
743,2,Positive,I have used Windex forever. The last couple of bottles have left streaks everywhere. Even the Windex that is sold on cloths in packages does this. (So I know it is not my paper towels). Has anything changed in the formula Could it just be Windex sold in California We have lots of regulations here prohibiting this and that. Please help. A couple of years ago I would have given the product an excellent review. Thank you!
745,2,Positive,"Why was the sprayer nozzle changed It worked perfect the way it was, now the nozzle sticks in the down position. Takes too long to clean with this, I'll look for something different. I like Windex, but hate the new sprayer."
746,2,Positive,"Windex doesn't clean mirrors, glass like it used to. Leaves streaks. Works somewhat better than last brand tried so bought again. Got home and it won't spray. Nozzle front won't turn at all and nothing else works to open it. I shouldn't have to buy spray bottle for something that comes in a spray bottle."
747,2,Positive,Maybe i am picky but after cleaning i see a film and cloudy streaky result. I have used this product for many years and don't want to change if i don't have to. Mirrors and windows used to look like new but not lately.
748,2,Positive,I have used windex all of my life. I have 5 foot windows throughout my home and have always prided myself on the cleanliness of my windows. I purchased three bottles of this windex and everyone of my windows and mirrors have streaks that look as if my windows haven't been cleaned in months. What is the new ingredient in the Glass and More cleaner that is creating this. Maybe you should consider bottling a JUST GLASS CLEANER and stop trying to be everything to everyone. Two days of hard work down the drain and I don't know how to correct the problem. Help
749,2,Positive,"As so many of the other reviews have suggested, it definitely seems as though something has changed. I can't get it to stop streaking. I have used Windex for as long as I can remember for everything. I primarily use Windex original. I'm not exactly sure when I started having issues. Probably the last year or so. I tried changing paper towels and using a clean lint free rag with no improvement. It's been driving me crazy. No matter how many times I spray and wipe my mirrors, windows, appliances and our glass top tables there are still streaks. Disappointingly I'm going to start trying other product."
1038,2,Positive,"Not being a Kind Bar aficionado, I didn't know how widely different each type of Kind Bar is...I expected the same full flavor and fulfillment of the long thin Kind Bars. These are flat, square and rather bland. The dark chocolate adds some flavor but still nothing I was excited about. They do the trick in keeping hunger at bay, but they are not what I expected."
1072,1,Positive,"I have very oily, fine hair and this shampoo just made my hair look dirtier than before washing it. My hair was greasy and heavy. I thought maybe I just didn't rinse well enough so I gave it another try a few days later but had the same results. I can say that it smelled good!"
1073,1,Positive,I've used your volume product for years but all of the sudden you removed the 2-in-1 so I switched to this and the conditioner then you changed the shampoo and the conditioner (which wasn't nearly as good as the 2-in-1 but was better than nothing) ! I loved your product but now I have to find another unfortunately nothing you offer compares to the quality you used to have! Why would you change such a great product! I wish you'd bring back the 2-in-1! For me being a man with baby fine hair it was the only product on the market that didn't cause me to lose hair or dry it out and didn't have an over powering feminine scent! I really wish you'd stop messing with good things!
1074,1,Positive,I have been using aussome volume for over 10 years except it used to be called real volume. I would really like to know if you changed the formula for it. The last 6 or so months I've been having scalp problems with sores and my hair falling out. The last couple of bottles I purchased have had a much stronger smell to it and it is drying my hair and scalp out really bad. It never used to do this. It always made my hair really thicker looking and just really nice. Hardly ever had to use conditioner. Please if you could let me know about that I would really appreciate it. I haven't ever thought about switching from Aussie but now I think I have too.
1077,1,Positive,"You changed the smell! The bottle I just used up says the scent is white ginger, the new one says it's jojoba, but it smells like cherries or something. Why in the world have you changed the formula! I've used this for over 10 years, and the smell was always the same, even if the formula was changed. I miss the old smell, it was my favorite. Now I have to find another shampoo with a mild scent that I like. Rude."
1078,1,Positive,"The scent is too strong, it burns your eyes, and leaves your hair very dry. Avoid it. When it comes to shampoo and conditioner you really get what you pay for."
1079,2,Positive,"I received this as a sample from influenster. First, let me say I love the smell. It is fresh and fruity and very good. However, when I was rinsing it out, it took all the 'slip' out of my hair and my hair felt pure straw!!! I am sad, because I loved the smell."
1225,1,Positive,"The product is OK, the scent is barely noticeable. Overpriced"
1263,1,Positive,"I used this on my 2 boys on the 4th of July, ages 5 9. We have a huge block party with water balloons, swimming, playing in sprinklers. The boys were in their suits all day i re-applied several times through out the day, each time I put it on the boys, they were wet. Well at the end of the day, they were also very burned! I used a coppertone on my daughter and she did not get burned at all. I have been telling all my friends NOT to buy this I would never buy it again."
1264,1,Positive,"I have used this sunscreen twice. The first time I got burned, but had been in the water so I thought it was because of that. Today my husband and I both used it, and we are so burned! We were outside for a couple hours and did not get wet at all. I applied it 20 minutes before we went outside and rubbed it in. My husband only used it on part of his body and those parts were just as burned as the areas he did not use it on. I definitely DO NOT recommend this product!!!"
1265,1,Positive,"After applying as directed, we went swimming and then reapplied after an hour. We burned in that one hour! Not only that, but our skin is a rusty orange color! It looks like we sprayed ourselves with a cheap self tan. We have used the regular Neutrogena Sun Block spray and this did not happen. Went for the wet skin bottle this time and it didn't work for us."
1266,1,Positive,"After 1 day of use, I developed a red itchy rash on all areas that were sprayed."
1297,1,Positive,"I am very fair and burn easily in the sun. I was excited to try this product after reading some reviews. I have tried this lotion several times, thinking I was applying it wrong or something. Everytime I use it, It leaves blotches, especially on my arms and chest no matter how much I tried to rub it in evenly. It also took too long to completely dry. If it is not completely dry, you will have lighter spots where your clothes rub your skin or where your arms bend and such. I just cannot stand still for 30 minutes to an hour for the lotion to dry, not touching anything! The color looked pretty orange. It also had a very bad smell after it was left on for a few hours. Also, it washes right off in the shower so don't even think about taking a bath with this because you will be bathing in orange water. The only thing I do like about the lotion is that it gives you color right away and becomes darker over time, but it'd be better if the color wasn't orange. I absolutely HATE this product and I do not recommend it to anyone, especially fair skinned people."
1299,1,Positive,"This is a very fast-acting lotion, I'll give it that. My problem is that after using it for about a week (like it says on the bottle), I turned a color that was more of a yellow/orange than anything else. Run away!!!!!!!"
1300,1,Positive,Have used Summer Color light/medium on my legs according to directions nearly every day for over a month. There has been absolutely no color change. I've had success with other sunless tanning products. Going back to them.
1376,1,Positive,It made a lot of my hair fall out and now instead of sleek my hair looks oily. I absolutely love other Suave products but this one just didn't cut it.
1378,1,Positive,Hi i love this line used since high school. I just bought a new set and it smells different. Should I be concerned or was their a change in suave sleek
1382,1,Positive,I had been using this product off and on for a couple of years and I really loved it. Loved the way it smelled and the way my hair felt. A few months ago I bought it again. This time after the first 2-3 days my scalp became dry and itchy. It was so itchy that I just wanted to scrape my scalp right off. Caused sores on my head that were also very itchy. I began to notice my hairbrush filling up with hair. Was cleaning out every week because my hair was falling out. I thought I had just become allergic to the shampoo and conditioner so I gave it to my daughter. Her and her boyfriend began to use it and their scalps became dry and severely itchy. Suave must have changed the formula. They need to pull this product off the shelves and revamp it. Maybe before selling it again the head honchos should taker it home and use it themselves as well as their families. Then they might be more careful about what they are putting on the shelves for the consumer. Please beware if you use this your head will itch like you have never felt an itch before.
1383,1,Positive,I bought this product and at first i was content with the product. My hair felt clean and fresh but after a few uses i noticed my scalp getting dry and itchy. When i looked at the roots of my hair i noticed the product was burning my scalp and it was peeling!!!.. i stopped using this product and went back to using head and shoulders which i should have never left to try Suave. My scalp is now healing since i moved back. Never again will i use this product that is too harsh.
1384,1,Positive,"I have to say, Suave Professionals Sleek Conditioner for dry or frizzy was the best conditioner I've ever had. It was super affordable and everyone says I smell nice (which is pretty creepy) But, these past 2 days, I noticed something different. The color was different, it felt different, it smelled different, and it wasn't working anymore. I even thought someone was pranking me. So, I decided to search up the old ingredients and compare it to the current conditioner I have. The formula was different. Who ever is responsible for changing the ingredients, PLEASE CHANGE IT BACK! . I really don't want to find a new conditioner because it's so much work. I will change my review to an positive as long as someone does something about the formula."
1385,1,Positive,"My daughter has soft 3b to 3c curls. This product dried her hair so bad that it matted and it took days of oil treatments to get it back to close to normal. My youngest girl had softer wavy hair and this dried her ends. It split them. After the conditioner was rinsed out her ends looked horrible. I came to suave.com for more info and help getting my money back. But I kept getting directed to the home page. I love most Suave products, but this one was a sure miss for us."
1386,1,Positive,Bought the sleek shampoo and conditioner. Opened them this evening to wash my daughters hair and it was as though someone has dumped them BOTH out and filled with water! Highly dissatisfied with these products!
1387,2,Positive,"I like the way it smells and my hair feels nice after its blow drie however, my hair feels super waxy and oily after half a day.. I tried using less conditioner and same result. I might end up using the shampoo only which is a waste of buying the conditioner."
1390,2,Positive,"My wife and I have used Suave Professional shampoos and conditioners for many years. We have always really liked how they worked and consider them the best value available when it comes to shampoo and conditioner. However, the Sleek product that is similar to Matrix caused my scalp to break out in severe acne. I didn't realize it was the the shampoo. Nothing I tried helped and it kept getting worse. I finally stumbled on various comments online when I was doing research trying to figure out what was causing my problem that indicated Matrix caused them a similar problem. I immediately changed shampoos and ten days later, my scalp is almost completely clear. Will go back to the other Suave Professional products as their is something in this product that my body reacts to negatively."
1426,1,Positive,Texture not quite what I've had in other brands. Used it on top of a salad. Slightly fishy smell. Yes it's white tuna. Just not the best part of the fish. I would not use it for tuna salad sandwiches. Probably be okay in a casserole or cooked dish.
1450,1,Positive,"This shelf made of cardboard. The assemble system is just double stick tape, It should not be more than { $ }dollars. it Just looks so cheap."
1451,1,Positive,I got this for my 1 year old daughters room to place fabric bins in. When I recived it the backing was cardboard and the shelves are held together by 3m tape and cardboard pegs. Very cheap looking. I paid way to much for the quality of product. Product is not very sturdy. Very poor prooduct.
1452,1,Positive,The major connections are made with double stick tape. There are no screws to hold the components together. I will be returning this purchase.
1469,1,Positive,"I was not impressed with this product at all, could of used the shampoo and gotten the same results. I was anticipating a prominent original carrot smell and it was lacking. Nourishing I think not!"
1470,1,Positive,I am pretty disappointed with this body wash. It does not lather well and does not leave the skin feeling clean. I also don't like the smell. I have to use a lot of the wash to get a good lather. Will not buy gain.
1471,2,Positive,"I just used this for the first time. It smells great, and was feeling great until I got to my tender bits. Holy wow! Will not do that again. .ow ow ow. Also, they really mean it when they say do not get near your eyes! Packaging has some issues. The top is not attached to the bottle, which made me end up playing catch the lid. Very much like that it's not slippery/slimy like some competitors' comparable product. I love all the other Yes To products I've tried. I think as long as I don't use this on my face and bits, I will like this one, too."
1472,2,Positive,The plastic is soooo dang hard on this bottle that u almost have 2 squeeze the bottle with 2hands... outta line. How can u enjoy a good shower if ur constantly fighting with a bottle of product that suppose 2b nourishing n relaxn. Because of this design flaw i cannot rate any higher. Fix this problem right away. Oh and for the rec'd. i did remove the xtra clear tape on the bottle before use so that had nothing to do with it as some ppl complained.
1537,1,Positive,Movie is fine... But does not include Ultraviolet. Called customer service and I now have to wait for BB to reorder the dvd and I then have to go to UPS to return this copy. This $5 dvd is more like $20-$30 with the additional time I have had to waste and a trip to UPS. Not a good start to holiday shopping.
1539,1,Positive,Did not like this movie. Wasted my money on this Blu Ray DVD set. Would not recommend this movie even if you are a true Johnny Depp fan.
1540,1,Positive,"The preview leads you to believe it's a comedy. With Johnny Depp, I believed it would be good. About half way through, I realized it was not going to get funny. Every humorous scene was in the previews. I gave the disk to my daughter, and told her she could keep it........ she returned it to me the next day, and told me she didn't want it."
1542,1,Positive,dont waste your time was more fun looking out the window watching leaves fall from the tree and have a trash can near you to through up in.
1543,2,Positive,"Johnny Depp did a great job - he is a very talented actor, but in my opinion this movie fell short of my expectations. I didn't realize when I bought it that it was directed by Tim Burton until after. It's the typical weird off-the-wall scattered plot movie. It'd be a one star movie if Depp wasn't in it - he is the only reason the movie was at least bearable to me."
1544,2,Positive,Not one of his best. I should have passed on this one.
1546,2,Positive,"I was a fan of the original as a child. However, what was fun then is not quite as enjoyable as an adult. The movie is quirky, but that is not enough for me to recommend it. Rent it first."
1547,2,Positive,Strange and familiar at the same time Johnny Depp plays Johnny Depp. Burton uses the same sexually repressed dark figure looking to get it in. See it only once and only if you rented it or if someone already owns it.
1550,2,Positive,"I liked it, but I didn't get pulled into the story. And the best jokes were told in the previews."
1786,2,Positive,"I've enjoyed some of Elvis' movies like Viva Las Vegas, Blue Hawaii, and Fun in Acapulco. I received Clambake as a gift to add to my collection, and I thought I'd like it especially because it took place in Miami, where I'm from.Sadly, this was not a very good movie. The late-60s styles were comical, and the young days of Christine from Coach and Bill Bixby from The Hulk were amusing. However, the obvious closed sets, corny acting and oddball music interludes kept me asking why was this movie even produced.The final insult to injury... Elvis and his girl drive into the Florida sunset... with mountains in the background! The only mountains in Miami are trash dumps so this was obviously shot in California and poorly passed off as Miami Beach.So I give it 2 stars: one for Elvis and one for the real Florida."
1788,2,Positive,"There are basically four criteria by which I judge an Elvis movie: the songs and how they relate to the movie's story Elvis' acting performance Elvis' co-stars' performance and the story itself.The songs used in Clambake (especially the title song itself) are not well-written. In fact, they are so forgettable that I can't recall any of them as stand-outs. The best one is probably the one (title) he sings on the beach. The song he co-sings while riding a motorbike in the movie is relatable to the story and it does look like Elvis is into the song. However, I think that speaks more to Elvis' charm as a musical performer. Although if you have ever seen Harum Scarum (and if you have not... I do NOT recommend you do), you will see Elvis at his most UNenthusiastic when it comes to singing the movie's songs. The song he sings to/with the children at the park playground is way too long and seemingly filler material... having little of anything to do with the story.As for Elvis' acting performance, I've seen him give worse performances (Harum Scarum definitely tops the list of other Elvis movies I have seen), but I have also seen better (Loving You, Jailhouse Rock, Viva Las Vegas, to name just three). He definitely held his own in this movie. I'll leave it at that. I don't recall any fight scenes in this movie, which I find/found a refreshing change (it's been a few days since I watched it and have watched other Elvis movies since then).Shelley Fabares (if you remember her from the 80s/90s TV show Coach) was likable as the leading lady in this film. Bill Bixby (later most familiar as David Banner from The Incredible Hulk) played the protagonist well because I didn't like him... which was intentional. Will Hutchins (maybe known from his earlier role in another Elvis movie, Spinout) plays Tom Wilson, the waterski instructor whose identity Elvis' character (Scott Heyward) assumes in the movie... is adequate.As for the story itself, it has (for me) two elements I have enjoyed in my own life (motorcycle riding and waterskiing), so I'm probably being more generous about this movie's appeal then I would be otherwise... but that is why all opinions are biased.Instead of outlining the plot, I will just summarize that visually, this movie is more attractive to the eye than many of Elvis' other movies (that have too many studio sets instead of using outdoor shots). Although most of this film was shot in California than Florida, they pulled it off.Elvis' movies, for the most part were make you feel good movies, so to judge this as anything more than that would be doing Elvis a disservice. This film did mark the beginning of the end for Elvis in a number of ways. It was the last film for which he received a guaranteed million dollar salary. He also began overeating prior to this movie and had to take diet pills to reverse the direction his weight was heading. No more needs to be said.If you are like me and either have only a few Elvis movie DVDs in your collection (I have about 10 of his 31) and are wondering which ones are more enjoyable than others, I can only give you a general guideline and that is that most of his better movies were from the FIRST third of the 31. I don't think you can go wrong at all by picking any of his first five (Love Me Tender, Loving You, Jailhouse Rock, King Creole, and GI Blues) as well as Viva Las Vegas, Blue Hawaii, It Happened At The World's Fair, Roustabout, and Follow That Dream. I think these movies do a better job of showcasing Elvis' untapped acting potential. I wrote untapped because you could see if he was given better scripts (especially after his first five movies), he could have shown so much more of what he had to offer. Thanks a lot Hal Wallis!Overall, I don't recommend this movie for purchase unless you have to have every movie in which Elvis has appeared."
1789,2,Positive,"Being a low price DVD, you do not really expect much, unfortunately though this really goes too far resulting in the VHS version being far better quality. I expect the powers that be thought this film is only aimed at hardcore Elvis fans and corners were cut, this would be the same thought process that managed to produce these calibre of films to start with. I am also surprised that some of the other films in MGM's vaults were not released first, examples being It Happened At The Worlds Fair and Live A little Love A little, especially with the worldwide success of A Little Less Conversation."
1796,1,Positive,I expected more from this movie and more from zac Enron. I would give this movie a D. Try neighbors 2 instead
1804,1,Positive,"The trailers made the movie look like it had potential to be a funny movie...it did have its moments, but that was it, the rest of the movie was not good....not one I would recommend!"
1807,2,Positive,"Typical Zac Efron comedy, Anna Kendrick always good. Wedding dates in Hawii"
1808,2,Positive,"A good fraternity movie without plot, character, and reason but tried to shock."
1809,2,Positive,It looked funny and has its moments but maybe I expected more from the movie but didn't deliver on full humor but raunchy humor.
1810,2,Positive,Thought this movie could be funnier. The previews always show the best parts. And I thought the movie is a let down. They try too hard to be funny........
1814,2,Positive,I heard this movie was amazing i watched it and it sucked
1819,2,Positive,"Movie is ok... Not really good and not really bad.... It lost my attention and a day after I watched it, I can not remember 1 scene from it"
1820,2,Positive,Raunchy comedy. Much of it not all that humorous unless you're a millennial that sees low value cheap shot political correctness as funny.
1822,2,Positive,A few funny parts but overall not a movie I'd watch multiple times. It's a renter.
1824,2,Positive,What to say about this movie. There were some very funny parts. There are some very explicit parts as well. Not likely to watch again. You may want to rent this.
2554,2,Positive,"Progresso had a Meatball and Rice soup last year (2015) that Target carried in the Bay Area and I loved it, kept going back to purchase larger and larger quantities when I ran out. Then the weather got hot and I stopped buying soup. With winter again, I wanted that soup and couldn't find it anywhere. I was so happy when I found that Target.com had it and purchased more than a dozen cans. Much to my surprise, it's not the same recipe! The soup I had last year was tomato based and only had meatballs. This soup is also tomato based, I think. I couldn't quite tell because of how much oregano was in it. And it had chunks of chicken and bits of corn. It tastes so different from the soup from last year! I've decided to donate the rest of my cans to a food bank for the holidays and hope that someone else will like it more than me. Target.com had great prices and the delivery was incredibly fast. The cans of soup were wrapped in heavy duty plastic bags, somewhat wasteful but definitely helpful to prevent spills should any cans unexpectedly get punctured or damaged, although none were damaged. Too bad the plastic bags had some tiny holes in them, otherwise I could have put them to other uses as pet waste pick-up, oh well. So, overall, the soup was a disappointment but the buying experience was good."
2578,2,Positive,DOESN'T REALLY WORK. SUPER MESSY/STICKY.
2583,1,Positive,"My family and I absolutely love the first one. Seen it maybe 8+ times and still cracks me up. That said, after watching the 2nd one, we all thought is was a major let down. The humor was pushed and not natural. Used the grandmother way too much, and each time it wasn't funny, but was ridiculous. And this will be weird saying, but everything was too ""Greek"". Yes, we understand that the family is 100% Greek, but the movie made them out to be absolute idiots (their homes especially). In the last move, Toula ended up being a very strong character, but she is back to being frumpy again at the beginning of the 2nd movie and having to find herself again. The list goes on and on and there are just too many reasons to skip this movie. Go back and watch the first one, laugh and enjoy it, and don't ruin it by witnessing this disappointment."
2592,2,Positive,"Had a lot to live up to, plus it was 14 years after the original. Fiance and I had a little bad taste in our mouths. Laughed only a few times. Probably recommended as a rental, unless you're Greek."
2593,2,Positive,"I did not like this as much as the first one, it was just kind of like a reunion show. It was just ok. I bought the movie for a friend that really liked it."
2594,2,Positive,Not the best sequel but what did you really expect. The original was a breath of fresh air the sequel was trying to get the same breath when we already had the fresh air.
2595,2,Positive,"I thought the movie was entertaining, it still focused on family but it was slow in parts."
2597,2,Positive,"Nothing new, if you are a huge fan of the first you might like this. I felt it a waste of time."
2600,2,Positive,gave it as a gift did not watch the first one do not plan on it
